id,SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,DIRECTION
1,10477,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,07/13/2023,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,3039,
2,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,06/20/2022,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2986,
3,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,JUST WEST OF PATTON RD (WB),A,VC,HFX,4,1774,W
4,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2733,
5,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,05/27/2021,JUST WEST OF PATTON RD (EB),A,VC,HFX,4,1396,E
6,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/24/2020,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2350,
7,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/09/2019,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2566,
8,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,11/01/2018,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2312,
9,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,07/06/2017,0.5 KM EAST OF BRUSHY HILL RD (WB),A,VC,HFX,4,1466,W
10,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,06/07/2017,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,3,1383,E
11,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/19/2016,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2590,
12,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,09/28/2015,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2195,
13,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,10/20/2008,0.5 KM EAST OF BRUSHY HILL RD (EB),A,VC,HFX,4,965,E
14,1047,1,47,4.5,PATTON RD (SACKVILLE) TO MOUNT UNIACKE CONN,08/01/2007,0.5 KM EAST OF BRUSHY HILL RD,A,TC,HFX,,2769,
15,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/13/2023,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,7107,
16,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/20/2022,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,7104,
17,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),04/21/2021,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,6023,
18,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/09/2019,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,6164,
19,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/03/2019,TK 1 AT ETTER RD (MT UNIACKE),,SA,HAN,,,
20,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M WEST OF ETTER RD (WB),B,VC,HAN,6,2984,W
21,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M EAST OF ETTER RD (WB),B,VC,HAN,8,4266,W
22,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M EAST OF ETTER RD (EB),B,VC,HAN,9,3934,E
23,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M WEST OF ETTER RD (EB),B,VC,HAN,5,2924,E
24,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11/01/2018,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,5891,
25,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/06/2017,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),B,VC,HAN,6,2958,W
26,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/06/2017,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),B,VC,HAN,5,3063,E
27,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/31/2016,JUST EAST OF DEMMINGS DR INTER/S,B,TC,HAN,,4211,
28,1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/19/2016,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,,5660,
